NAME,B01001_001E,state,county
"Cumberland County, Kentucky",6713,21,057
"Cumberland County, Maine",290944,23,005
"Cumberland County, New Jersey",153400,34,011
"Cumberland County, North Carolina",332106,37,051
"Cumberland County, Pennsylvania",247433,42,041
"Cumberland County, Tennessee",58634,47,035
"Cumberland County, Virginia",9786,51,049
"Cuming County, Nebraska",8991,31,039
"Currituck County, North Carolina",25796,37,053
"Curry County, New Mexico",50199,35,009
"Curry County, Oregon",22507,41,015
"Custer County, Colorado",4640,08,027
"Custer County, Idaho",4141,16,037
"Custer County, Montana",11845,30,017
"Custer County, Nebraska",10830,31,041
"Custer County, Oklahoma",29209,40,039
"Custer County, South Dakota",8573,46,033
"Cuyahoga County, Ohio",1253783,39,035
"Dade County, Georgia",16227,13,083
"Dade County, Missouri",7590,29,057
"Daggett County, Utah",612,49,009
"Dakota County, Minnesota",418201,27,037
"Dakota County, Nebraska",20317,31,043
"Dale County, Alabama",49255,01,045
"Dallam County, Texas",7243,48,111
"Dallas County, Alabama",40029,01,047
"Dallas County, Arkansas",7432,05,039
"Dallas County, Iowa",84002,19,049
"Dallas County, Missouri",16499,29,059
"Dallas County, Texas",2586552,48,113
"Dane County, Wisconsin",529843,55,025
"Daniels County, Montana",1753,30,019
"Danville city, Virginia",41512,51,590
"Dare County, North Carolina",35741,37,055
"Darke County, Ohio",51734,39,037
"Darlington County, South Carolina",67253,45,031
"Dauphin County, Pennsylvania",274515,42,043
"Davidson County, North Carolina",164664,37,057
"Davidson County, Tennessee",684017,47,037
"Davie County, North Carolina",41991,37,059
"Daviess County, Indiana",32937,18,027
"Daviess County, Kentucky",99937,21,059
"Daviess County, Missouri",8302,29,061
"Davis County, Iowa",8885,19,051
"Davis County, Utah",340621,49,011
"Davison County, South Dakota",19901,46,035
"Dawes County, Nebraska",8896,31,045
"Dawson County, Georgia",23861,13,085
"Dawson County, Montana",9191,30,021
"Dawson County, Nebraska",23804,31,047
"Dawson County, Texas",12964,48,115
"Day County, South Dakota",5506,46,037
"De Baca County, New Mexico",2060,35,011
"De Soto Parish, Louisiana",27216,22,031
"De Witt County, Illinois",16042,17,039
"DeKalb County, Alabama",71200,01,049
"DeKalb County, Georgia",743187,13,089
"DeKalb County, Illinois",104200,17,037
"DeKalb County, Indiana",42704,18,033
"DeKalb County, Missouri",12564,29,063
"DeKalb County, Tennessee",19601,47,041
"DeSoto County, Florida",36399,12,027
"DeSoto County, Mississippi",176132,28,033
"DeWitt County, Texas",20435,48,123
"Deaf Smith County, Texas",18899,48,117
"Dearborn County, Indiana",49501,18,029
"Decatur County, Georgia",26833,13,087
"Decatur County, Indiana",26552,18,031
"Decatur County, Iowa",8044,19,053
"Decatur County, Kansas",2881,20,039
"Decatur County, Tennessee",11683,47,039
"Deer Lodge County, Montana",9100,30,023
"Defiance County, Ohio",38279,39,039
"Del Norte County, California",27424,06,015
"Delaware County, Indiana",115616,18,035
"Delaware County, Iowa",17258,19,055
"Delaware County, New York",45502,36,025
"Delaware County, Ohio",197008,39,041
"Delaware County, Oklahoma",42112,40,041
"Delaware County, Pennsylvania",563527,42,045
"Delta County, Colorado",30346,08,029
"Delta County, Michigan",36190,26,041
"Delta County, Texas",5215,48,119
"Denali Borough, Alaska",2232,02,068
"Dent County, Missouri",15504,29,065
"Denton County, Texas",807047,48,121
"Denver County, Colorado",693417,08,031
"Des Moines County, Iowa",39600,19,057
"Deschutes County, Oregon",180640,41,017
"Desha County, Arkansas",11887,05,041
"Deuel County, Nebraska",1894,31,049
"Deuel County, South Dakota",4306,46,039
"Dewey County, Oklahoma",4918,40,043
"Dewey County, South Dakota",5779,46,041
"Dickens County, Texas",2216,48,125
"Dickenson County, Virginia",14960,51,051
"Dickey County, North Dakota",4970,38,021
"Dickinson County, Iowa",17056,19,059
"Dickinson County, Kansas",19004,20,041
"Dickinson County, Michigan",25570,26,043
"Dickson County, Tennessee",51988,47,043
"Dillingham Census Area, Alaska",4975,02,070
"Dillon County, South Carolina",30871,45,033
"Dimmit County, Texas",10663,48,127
"Dinwiddie County, Virginia",28308,51,053
"District of Columbia, District of Columbia",684498,11,001
"Divide County, North Dakota",2369,38,023
"Dixie County, Florida",16437,12,029
"Dixon County, Nebraska",5746,31,051
"Doddridge County, West Virginia",8536,54,017
"Dodge County, Georgia",20919,13,091
"Dodge County, Minnesota",20582,27,039
"Dodge County, Nebraska",36683,31,053
"Dodge County, Wisconsin",87776,55,027
"Dolores County, Colorado",1841,08,033
"Doniphan County, Kansas",7736,20,043
"Donley County, Texas",3387,48,129
"Dooly County, Georgia",13905,13,093
"Door County, Wisconsin",27439,55,029
"Dorado Municipio, Puerto Rico",37208,72,051
"Dorchester County, Maryland",32261,24,019
"Dorchester County, South Carolina",155474,45,035
"Dougherty County, Georgia",91049,13,095
"Douglas County, Colorado",328614,08,035
"Douglas County, Georgia",141840,13,097
"Douglas County, Illinois",19714,17,041
"Douglas County, Kansas",119319,20,045
"Douglas County, Minnesota",37203,27,041
"Douglas County, Missouri",13374,29,067
"Douglas County, Nebraska",554992,31,055
"Douglas County, Nevada",47828,32,005
"Douglas County, Oregon",108323,41,019
"Douglas County, South Dakota",2930,46,043
"Douglas County, Washington",41371,53,017
"Douglas County, Wisconsin",43402,55,031
"Doña Ana County, New Mexico",215338,35,013
"Drew County, Arkansas",18502,05,043
"DuPage County, Illinois",931743,17,043
"Dubois County, Indiana",42418,18,037
"Dubuque County, Iowa",96802,19,061
"Duchesne County, Utah",20219,49,013
"Dukes County, Massachusetts",17313,25,007
"Dundy County, Nebraska",2023,31,057
"Dunklin County, Missouri",30428,29,069
"Dunn County, North Dakota",4387,38,025
"Dunn County, Wisconsin",44498,55,033
"Duplin County, North Carolina",59062,37,061
"Durham County, North Carolina",306457,37,063
"Dutchess County, New York",293894,36,027
"Duval County, Florida",924229,12,031
"Duval County, Texas",11355,48,131
"Dyer County, Tennessee",37576,47,045
"Eagle County, Colorado",54357,08,037
"Early County, Georgia",10348,13,099
"East Baton Rouge Parish, Louisiana",444094,22,033
"East Carroll Parish, Louisiana",7225,22,035
"East Feliciana Parish, Louisiana",19499,22,037
"Eastland County, Texas",18270,48,133
"Eaton County, Michigan",109155,26,045
"Eau Claire County, Wisconsin",102991,55,035
"Echols County, Georgia",3994,13,101
"Ector County, Texas",158342,48,135
"Eddy County, New Mexico",57437,35,015
"Eddy County, North Dakota",2313,38,027
"Edgar County, Illinois",17539,17,045
"Edgecombe County, North Carolina",53332,37,065
"Edgefield County, South Carolina",26769,45,037
"Edmonson County, Kentucky",12122,21,061
"Edmunds County, South Dakota",3940,46,045
"Edwards County, Illinois",6507,17,047
"Edwards County, Kansas",2925,20,047
"Edwards County, Texas",2055,48,137
"Effingham County, Georgia",58689,13,103
"Effingham County, Illinois",34174,17,049
"El Dorado County, California",186661,06,017
"El Paso County, Colorado",688153,08,041
"El Paso County, Texas",837654,48,141
"Elbert County, Colorado",25162,08,039
"Elbert County, Georgia",19212,13,105
"Elk County, Kansas",2562,20,049
"Elk County, Pennsylvania",30608,42,047
"Elkhart County, Indiana",203604,18,039
"Elko County, Nevada",52252,32,007
"Elliott County, Kentucky",7517,21,063
"Ellis County, Kansas",28878,20,051
"Ellis County, Oklahoma",4072,40,045
"Ellis County, Texas",168838,48,139
"Ellsworth County, Kansas",6293,20,053
"Elmore County, Alabama",81212,01,051
"Elmore County, Idaho",26433,16,039
"Emanuel County, Georgia",22499,13,107
"Emery County, Utah",10248,49,015
"Emmet County, Iowa",9551,19,063
"Emmet County, Michigan",33039,26,047
"Emmons County, North Dakota",3352,38,029
"Emporia city, Virginia",5381,51,595
"Erath County, Texas",41482,48,143
"Erie County, New York",919866,36,029
"Erie County, Ohio",75136,39,043
"Erie County, Pennsylvania",275972,42,049
"Escambia County, Alabama",37328,01,053
"Escambia County, Florida",311522,12,033
"Esmeralda County, Nevada",981,32,009
"Essex County, Massachusetts",781024,25,009
"Essex County, New Jersey",793555,34,013
"Essex County, New York",37751,36,031
"Essex County, Vermont",6208,50,009
"Essex County, Virginia",11036,51,057
"Estill County, Kentucky",14313,21,065
"Etowah County, Alabama",102939,01,055
"Eureka County, Nevada",1830,32,011
"Evangeline Parish, Louisiana",33636,22,039
"Evans County, Georgia",10727,13,109
"Fairbanks North Star Borough, Alaska",99653,02,090
"Fairfax County, Virginia",1143529,51,059
"Fairfax city, Virginia",23865,51,600
"Fairfield County, Connecticut",944348,09,001
"Fairfield County, Ohio",152910,39,045
"Fairfield County, South Carolina",22712,45,039
"Fajardo Municipio, Puerto Rico",32001,72,053
"Fall River County, South Dakota",6774,46,047
"Fallon County, Montana",2838,30,025
"Falls Church city, Virginia",14067,51,610
"Falls County, Texas",17299,48,145
"Fannin County, Georgia",24925,13,111
"Fannin County, Texas",34175,48,147
"Faribault County, Minnesota",13896,27,043
"Faulk County, South Dakota",2322,46,049
"Faulkner County, Arkansas",122416,05,045
"Fauquier County, Virginia",69115,51,061
"Fayette County, Alabama",16585,01,057
"Fayette County, Georgia",111369,13,113
"Fayette County, Illinois",21724,17,051
"Fayette County, Indiana",23259,18,041
"Fayette County, Iowa",19929,19,065
"Fayette County, Kentucky",318734,21,067
"Fayette County, Ohio",28645,39,047
"Fayette County, Pennsylvania",132289,42,051
"Fayette County, Tennessee",39692,47,047
"Fayette County, Texas",25066,48,149
"Fayette County, West Virginia",44126,54,019
"Fentress County, Tennessee",17994,47,049
"Fergus County, Montana",11273,30,027
"Ferry County, Washington",7576,53,019
"Fillmore County, Minnesota",20888,27,045
"Fillmore County, Nebraska",5574,31,059
"Finney County, Kansas",36957,20,055
"Fisher County, Texas",3883,48,151
"Flagler County, Florida",107139,12,035
"Flathead County, Montana",98082,30,029
"Fleming County, Kentucky",14479,21,069
"Florence County, South Carolina",138561,45,041
"Florence County, Wisconsin",4337,55,037
"Florida Municipio, Puerto Rico",11910,72,054
"Floyd County, Georgia",96824,13,115
"Floyd County, Indiana",76809,18,043
"Floyd County, Iowa",15858,19,067
"Floyd County, Kentucky",36926,21,071
"Floyd County, Texas",5872,48,153
"Floyd County, Virginia",15666,51,063
"Fluvanna County, Virginia",26282,51,065
"Foard County, Texas",1408,48,155
"Fond du Lac County, Wisconsin",102315,55,039
"Ford County, Illinois",13398,17,053
"Ford County, Kansas",34484,20,057
"Forest County, Pennsylvania",7351,42,053
"Forest County, Wisconsin",9018,55,041
"Forrest County, Mississippi",75517,28,035
"Forsyth County, Georgia",219880,13,117
"Forsyth County, North Carolina",371573,37,067
"Fort Bend County, Texas",739342,48,157
"Foster County, North Dakota",3290,38,031
"Fountain County, Indiana",16486,18,045
"Franklin County, Alabama",31542,01,059
"Franklin County, Arkansas",17780,05,047
"Franklin County, Florida",11736,12,037
"Franklin County, Georgia",22514,13,119
"Franklin County, Idaho",13279,16,041
"Franklin County, Illinois",39127,17,055
"Franklin County, Indiana",22842,18,047
"Franklin County, Iowa",10245,19,069
"Franklin County, Kansas",25563,20,059
"Franklin County, Kentucky",50296,21,073
"Franklin County, Maine",30019,23,007
"Franklin County, Massachusetts",70935,25,011
"Franklin County, Mississippi",7757,28,037
"Franklin County, Missouri",102781,29,071
"Franklin County, Nebraska",3006,31,061
"Franklin County, New York",50692,36,033
"Franklin County, North Carolina",64902,37,069
"Franklin County, Ohio",1275333,39,049
"Franklin County, Pennsylvania",153751,42,055
"Franklin County, Tennessee",41512,47,051
"Franklin County, Texas",10679,48,159
"Franklin County, Vermont",49025,50,011
"Franklin County, Virginia",56233,51,067
"Franklin County, Washington",90660,53,021
"Franklin Parish, Louisiana",20322,22,041
"Franklin city, Virginia",8211,51,620
"Frederick County, Maryland",248472,24,021
"Frederick County, Virginia",85153,51,069
"Fredericksburg city, Virginia",28469,51,630
"Freeborn County, Minnesota",30526,27,047
"Freestone County, Texas",19709,48,161
"Fremont County, Colorado",47002,08,043
"Fremont County, Idaho",12965,16,043
"Fremont County, Iowa",6968,19,071
"Fremont County, Wyoming",40076,56,013
"Fresno County, California",978130,06,019
"Frio County, Texas",19394,48,163
"Frontier County, Nebraska",2609,31,063
"Fulton County, Arkansas",12139,05,049
"Fulton County, Georgia",1021902,13,121
"Fulton County, Illinois",35418,17,057
"Fulton County, Indiana",20212,18,049
"Fulton County, Kentucky",6210,21,075
"Fulton County, New York",53743,36,035
"Fulton County, Ohio",42305,39,051
"Fulton County, Pennsylvania",14506,42,057
"Furnas County, Nebraska",4786,31,065
"Gadsden County, Florida",46017,12,039
"Gage County, Nebraska",21595,31,067
"Gaines County, Texas",20321,48,165
"Galax city, Virginia",6638,51,640
"Gallatin County, Illinois",5157,17,059
"Gallatin County, Kentucky",8703,21,077
"Gallatin County, Montana",104729,30,031
"Gallia County, Ohio",30195,39,053
"Galveston County, Texas",327089,48,167
"Garden County, Nebraska",1860,31,069
"Garfield County, Colorado",58538,08,045
"Garfield County, Montana",1141,30,033
"Garfield County, Nebraska",1975,31,071
"Garfield County, Oklahoma",62190,40,047
"Garfield County, Utah",5017,49,017
"Garfield County, Washington",2224,53,023
"Garland County, Arkansas",98296,05,051
"Garrard County, Kentucky",17328,21,079
"Garrett County, Maryland",29376,24,023
"Garvin County, Oklahoma",27823,40,049
"Garza County, Texas",6288,48,169
"Gasconade County, Missouri",14746,29,073
"Gaston County, North Carolina",216585,37,071
"Gates County, North Carolina",11563,37,073
"Geary County, Kansas",34895,20,061
"Geauga County, Ohio",93961,39,055
"Gem County, Idaho",17052,16,045
"Genesee County, Michigan",409361,26,049
"Genesee County, New York",58112,36,037
"Geneva County, Alabama",26491,01,061
"Gentry County, Missouri",6665,29,075
"George County, Mississippi",23710,28,039
"Georgetown County, South Carolina",61605,45,043
"Gibson County, Indiana",33596,18,051
"Gibson County, Tennessee",49175,47,053
"Gila County, Arizona",53400,04,007
"Gilchrist County, Florida",17615,12,041
"Giles County, Tennessee",29167,47,055
"Giles County, Virginia",16814,51,071
"Gillespie County, Texas",26208,48,171
"Gilliam County, Oregon",1907,41,021
"Gilmer County, Georgia",29922,13,123
"Gilmer County, West Virginia",8205,54,021
"Gilpin County, Colorado",5924,08,047
"Glacier County, Montana",13699,30,035
"Glades County, Florida",13363,12,043
"Gladwin County, Michigan",25289,26,051
"Glascock County, Georgia",3009,13,125
"Glasscock County, Texas",1430,48,173
"Glenn County, California",27897,06,021
"Gloucester County, New Jersey",290852,34,015
"Gloucester County, Virginia",37161,51,073
"Glynn County, Georgia",83974,13,127
"Gogebic County, Michigan",15414,26,053
"Golden Valley County, Montana",724,30,037
"Golden Valley County, North Dakota",1882,38,033
"Goliad County, Texas",7531,48,175
"Gonzales County, Texas",20667,48,177
"Goochland County, Virginia",22482,51,075
"Goodhue County, Minnesota",46217,27,049
"Gooding County, Idaho",15169,16,047
"Gordon County, Georgia",56790,13,129
"Goshen County, Wyoming",13438,56,015
"Gosper County, Nebraska",2015,31,073
"Gove County, Kansas",2619,20,063
"Grady County, Georgia",24926,13,131
"Grady County, Oklahoma",54733,40,051
"Grafton County, New Hampshire",89811,33,009
"Graham County, Arizona",37879,04,009
"Graham County, Kansas",2545,20,065
"Graham County, North Carolina",8557,37,075
"Grainger County, Tennessee",23013,47,057
"Grand County, Colorado",15066,08,049
"Grand County, Utah",9616,49,019
"Grand Forks County, North Dakota",70400,38,035
"Grand Isle County, Vermont",6965,50,013
"Grand Traverse County, Michigan",91746,26,055
"Granite County, Montana",3269,30,039
"Grant County, Arkansas",18086,05,053
"Grant County, Indiana",66944,18,053
"Grant County, Kansas",7616,20,067
"Grant County, Kentucky",24915,21,081
"Grant County, Minnesota",5938,27,051
"Grant County, Nebraska",718,31,075
"Grant County, New Mexico",28061,35,017
"Grant County, North Dakota",2380,38,037
"Grant County, Oklahoma",4418,40,053
"Grant County, Oregon",7183,41,023
"Grant County, South Dakota",7217,46,051
"Grant County, Washington",94860,53,025
"Grant County, West Virginia",11641,54,023
"Grant County, Wisconsin",51828,55,043
"Grant Parish, Louisiana",22348,22,043
"Granville County, North Carolina",58874,37,077
"Gratiot County, Michigan",41067,26,057
"Graves County, Kentucky",37294,21,083
"Gray County, Kansas",6037,20,069
"Gray County, Texas",22685,48,179
"Grays Harbor County, Washington",71967,53,027
"Grayson County, Kentucky",26178,21,085
"Grayson County, Texas",128560,48,181
"Grayson County, Virginia",15811,51,077
"Greeley County, Kansas",1200,20,071
"Greeley County, Nebraska",2410,31,077
"Green County, Kentucky",11023,21,087
"Green County, Wisconsin",36864,55,045
"Green Lake County, Wisconsin",18757,55,047
"Greenbrier County, West Virginia",35347,54,025
"Greene County, Alabama",8426,01,063
"Greene County, Arkansas",44623,05,055
"Greene County, Georgia",16976,13,133
"Greene County, Illinois",13218,17,061
"Greene County, Indiana",32295,18,055
"Greene County, Iowa",9003,19,073
"Greene County, Mississippi",13714,28,041
"Greene County, Missouri",288429,29,077
"Greene County, New York",47617,36,039
"Greene County, North Carolina",21008,37,079
"Greene County, Ohio",165811,39,057
"Greene County, Pennsylvania",37144,42,059
"Greene County, Tennessee",68669,47,059
"Greene County, Virginia",19410,51,079
"Greenlee County, Arizona",9504,04,011
"Greensville County, Virginia",11659,51,081
"Greenup County, Kentucky",35765,21,089
"Greenville County, South Carolina",498402,45,045
"Greenwood County, Kansas",6156,20,073
"Greenwood County, South Carolina",70264,45,047
"Greer County, Oklahoma",5943,40,055
"Gregg County, Texas",123494,48,183
"Gregory County, South Dakota",4201,46,053
"Grenada County, Mississippi",21278,28,043
"Griggs County, North Dakota",2266,38,039
"Grimes County, Texas",27630,48,185
"Grundy County, Illinois",50509,17,063
"Grundy County, Iowa",12341,19,075
"Grundy County, Missouri",10039,29,079
"Grundy County, Tennessee",13331,47,061
"Guadalupe County, New Mexico",4382,35,019
"Guadalupe County, Texas",155137,48,187
"Guayama Municipio, Puerto Rico",41706,72,057
"Guayanilla Municipio, Puerto Rico",19008,72,059
"Guaynabo Municipio, Puerto Rico",88663,72,061
"Guernsey County, Ohio",39274,39,059
"Guilford County, North Carolina",523582,37,081
"Gulf County, Florida",16055,12,045
"Gunnison County, Colorado",16537,08,051
"Gurabo Municipio, Puerto Rico",46894,72,063
"Guthrie County, Iowa",10674,19,077
"Guánica Municipio, Puerto Rico",16783,72,055
"Gwinnett County, Georgia",902298,13,135
"Haakon County, South Dakota",2082,46,055
"Habersham County, Georgia",44289,13,137
"Haines Borough, Alaska",2518,02,100
"Hale County, Alabama",14887,01,065
"Hale County, Texas",34113,48,189
"Halifax County, North Carolina",51737,37,083
"Halifax County, Virginia",34779,51,083
"Hall County, Georgia",195961,13,139
"Hall County, Nebraska",61343,31,079
"Hall County, Texas",3074,48,191
"Hamblen County, Tennessee",63740,47,063
"Hamilton County, Florida",14269,12,047
"Hamilton County, Illinois",8221,17,065
"Hamilton County, Indiana",316095,18,057
"Hamilton County, Iowa",15110,19,079
"Hamilton County, Kansas",2616,20,075
"Hamilton County, Nebraska",9178,31,081
"Hamilton County, New York",4575,36,041
"Hamilton County, Ohio",812037,39,061
"Hamilton County, Tennessee",357546,47,065
"Hamilton County, Texas",8269,48,193
"Hamlin County, South Dakota",6000,46,057
"Hampden County, Massachusetts",469116,25,013
"Hampshire County, Massachusetts",161159,25,015
"Hampshire County, West Virginia",23363,54,027
"Hampton County, South Carolina",19807,45,049
"Hampton city, Virginia",135583,51,650
"Hancock County, Georgia",8535,13,141
"Hancock County, Illinois",18112,17,067
"Hancock County, Indiana",73830,18,059
"Hancock County, Iowa",10888,19,081
"Hancock County, Kentucky",8719,21,091
"Hancock County, Maine",54541,23,009
"Hancock County, Mississippi",46653,28,045
"Hancock County, Ohio",75690,39,063
"Hancock County, Tennessee",6585,47,067
"Hancock County, West Virginia",29680,54,029
"Hand County, South Dakota",3301,46,059
"Hanover County, Virginia",104449,51,085
"Hansford County, Texas",5547,48,195
"Hanson County, South Dakota",3397,46,061
"Haralson County, Georgia",28956,13,143
"Hardee County, Florida",27228,12,049
"Hardeman County, Tennessee",25562,47,069
"Hardeman County, Texas",3952,48,197
"Hardin County, Illinois",4009,17,069
"Hardin County, Iowa",17127,19,083
"Hardin County, Kentucky",108095,21,093
"Hardin County, Ohio",31542,39,065
"Hardin County, Tennessee",25771,47,071
"Hardin County, Texas",56379,48,199
"Harding County, New Mexico",459,35,021
"Harding County, South Dakota",1311,46,063
"Hardy County, West Virginia",13842,54,031
"Harford County, Maryland",251025,24,025
"Harlan County, Kentucky",27134,21,095
"Harlan County, Nebraska",3438,31,083
"Harmon County, Oklahoma",2721,40,057
"Harnett County, North Carolina",130361,37,085
"Harney County, Oregon",7228,41,025
"Harper County, Kansas",5673,20,077
"Harper County, Oklahoma",3847,40,059
"Harris County, Georgia",33590,13,145
"Harris County, Texas",4602523,48,201
"Harrison County, Indiana",39712,18,061
"Harrison County, Iowa",14143,19,085
"Harrison County, Kentucky",18668,21,097
"Harrison County, Mississippi",202626,28,047
"Harrison County, Missouri",8554,29,081
"Harrison County, Ohio",15307,39,067
"Harrison County, Texas",66645,48,203
"Harrison County, West Virginia",68209,54,033
"Harrisonburg city, Virginia",53391,51,660
"Hart County, Georgia",25631,13,147
"Hart County, Kentucky",18627,21,099
"Hartford County, Connecticut",894730,09,003
"Hartley County, Texas",5767,48,205
"Harvey County, Kansas",34555,20,079
"Haskell County, Kansas",4047,20,081
"Haskell County, Oklahoma",12704,40,061
"Haskell County, Texas",5809,48,207
"Hatillo Municipio, Puerto Rico",40390,72,065
"Hawaii County, Hawaii",197658,15,001
"Hawkins County, Tennessee",56402,47,073
"Hayes County, Nebraska",943,31,085
"Hays County, Texas",204150,48,209
"Haywood County, North Carolina",60433,37,087
"Haywood County, Tennessee",17779,47,075
"Heard County, Georgia",11677,13,149
"Hemphill County, Texas",4061,48,211
"Hempstead County, Arkansas",22018,05,057
"Henderson County, Illinois",6884,17,071
"Henderson County, Kentucky",46137,21,101
"Henderson County, North Carolina",113625,37,089
"Henderson County, Tennessee",27859,47,077
"Henderson County, Texas",80460,48,213
"Hendricks County, Indiana",160940,18,063
"Hendry County, Florida",40127,12,051
"Hennepin County, Minnesota",1235478,27,053
"Henrico County, Virginia",325642,51,087
"Henry County, Alabama",17124,01,067
"Henry County, Georgia",221307,13,151
"Henry County, Illinois",49464,17,073
"Henry County, Indiana",48483,18,065
"Henry County, Iowa",19926,19,087
"Henry County, Kentucky",15814,21,103
"Henry County, Missouri",21765,29,083
"Henry County, Ohio",27316,39,069
"Henry County, Tennessee",32279,47,079
"Henry County, Virginia",51588,51,089
"Herkimer County, New York",62505,36,043
"Hernando County, Florida",182696,12,053
"Hertford County, North Carolina",24153,37,091
"Hettinger County, North Dakota",2576,38,041
"Hickman County, Kentucky",4568,21,105
"Hickman County, Tennessee",24678,47,081
"Hickory County, Missouri",9368,29,085
"Hidalgo County, New Mexico",4371,35,023
"Hidalgo County, Texas",849389,48,215
"Highland County, Ohio",43007,39,071
"Highland County, Virginia",2214,51,091
"Highlands County, Florida",102101,12,055
"Hill County, Montana",16439,30,041
"Hill County, Texas",35399,48,217
"Hillsborough County, Florida",1378883,12,057
"Hillsborough County, New Hampshire",411087,33,011
"Hillsdale County, Michigan",45830,26,059
"Hinds County, Mississippi",241774,28,049
"Hinsdale County, Colorado",878,08,053
"Hitchcock County, Nebraska",2843,31,087
"Hocking County, Ohio",28495,39,073
"Hockley County, Texas",23162,48,219
"Hodgeman County, Kansas",1842,20,083
"Hoke County, North Carolina",53239,37,093
"Holmes County, Florida",19430,12,059
"Holmes County, Mississippi",18075,28,051
"Holmes County, Ohio",43859,39,075
"Holt County, Missouri",4456,29,087
"Holt County, Nebraska",10245,31,089
"Honolulu County, Hawaii",987638,15,003
"Hood County, Texas",56901,48,221
"Hood River County, Oregon",23131,41,027
"Hooker County, Nebraska",691,31,091
"Hoonah-Angoon Census Area, Alaska",2132,02,105
"Hopewell city, Virginia",22408,51,670
"Hopkins County, Kentucky",45664,21,107
"Hopkins County, Texas",36240,48,223
"Hormigueros Municipio, Puerto Rico",16180,72,067
"Horry County, South Carolina",320915,45,051
"Hot Spring County, Arkansas",33520,05,059
"Hot Springs County, Wyoming",4680,56,017
"Houghton County, Michigan",36360,26,061
"Houston County, Alabama",104352,01,069
"Houston County, Georgia",151682,13,153
"Houston County, Minnesota",18663,27,055
"Houston County, Tennessee",8176,47,083
"Houston County, Texas",22955,48,225
"Howard County, Arkansas",13389,05,061
"Howard County, Indiana",82387,18,067
"Howard County, Iowa",9264,19,089
"Howard County, Maryland",315327,24,027
"Howard County, Missouri",10113,29,089
"Howard County, Nebraska",6405,31,093
"Howard County, Texas",36667,48,227
"Howell County, Missouri",40102,29,091
"Hubbard County, Minnesota",20862,27,057
"Hudson County, New Jersey",668631,34,017
"Hudspeth County, Texas",4098,48,229
"Huerfano County, Colorado",6583,08,055
"Hughes County, Oklahoma",13460,40,063
"Hughes County, South Dakota",17617,46,065
"Humacao Municipio, Puerto Rico",53466,72,069
"Humboldt County, California",135768,06,023
"Humboldt County, Iowa",9566,19,091
"Humboldt County, Nevada",16904,32,013
"Humphreys County, Mississippi",8539,28,053
"Humphreys County, Tennessee",18318,47,085
"Hunt County, Texas",92152,48,231
"Hunterdon County, New Jersey",125051,34,019
"Huntingdon County, Pennsylvania",45421,42,061
"Huntington County, Indiana",36378,18,069
"Huron County, Michigan",31543,26,063
"Huron County, Ohio",58457,39,077
"Hutchinson County, South Dakota",7315,46,067
"Hutchinson County, Texas",21571,48,233
"Hyde County, North Carolina",5393,37,095
"Hyde County, South Dakota",1331,46,069
"Iberia Parish, Louisiana",72691,22,045
"Iberville Parish, Louisiana",32956,22,047
"Ida County, Iowa",6916,19,093
"Idaho County, Idaho",16337,16,049
"Imperial County, California",180216,06,025
"Independence County, Arkansas",37264,05,063
"Indian River County, Florida",150984,12,061
"Indiana County, Pennsylvania",85755,42,063
"Ingham County, Michigan",289564,26,065
"Inyo County, California",18085,06,027
"Ionia County, Michigan",64176,26,067
"Iosco County, Michigan",25247,26,069
"Iowa County, Iowa",16207,19,095
"Iowa County, Wisconsin",23620,55,049
"Iredell County, North Carolina",172525,37,097
"Irion County, Texas",1524,48,235
"Iron County, Michigan",11212,26,071
"Iron County, Missouri",10221,29,093
"Iron County, Utah",49691,49,021
"Iron County, Wisconsin",5715,55,051
"Iroquois County, Illinois",28169,17,075
"Irwin County, Georgia",9268,13,155
"Isabela Municipio, Puerto Rico",42420,72,071
"Isabella County, Michigan",70775,26,073
"Isanti County, Minnesota",38974,27,059
"Island County, Washington",81636,53,029
"Isle of Wight County, Virginia",36372,51,093
"Issaquena County, Mississippi",1328,28,055
"Itasca County, Minnesota",45203,27,061
"Itawamba County, Mississippi",23480,28,057
"Izard County, Arkansas",13559,05,065
"Jack County, Texas",8842,48,237
"Jackson County, Alabama",52094,01,071
"Jackson County, Arkansas",17225,05,067
"Jackson County, Colorado",1296,08,057
"Jackson County, Florida",48472,12,063
"Jackson County, Georgia",65755,13,157
"Jackson County, Illinois",58551,17,077
"Jackson County, Indiana",43938,18,071
"Jackson County, Iowa",19395,19,097
"Jackson County, Kansas",13318,20,085
"Jackson County, Kentucky",13373,21,109
"Jackson County, Michigan",158913,26,075
"Jackson County, Minnesota",10047,27,063
"Jackson County, Mississippi",142014,28,059
"Jackson County, Missouri",692003,29,095
"Jackson County, North Carolina",42256,37,099
"Jackson County, Ohio",32524,39,079
"Jackson County, Oklahoma",25384,40,065
"Jackson County, Oregon",214267,41,029
"Jackson County, South Dakota",3287,46,071
"Jackson County, Tennessee",11615,47,087
"Jackson County, Texas",14820,48,239
"Jackson County, West Virginia",29018,54,035
"Jackson County, Wisconsin",20506,55,053
"Jackson Parish, Louisiana",15926,22,049
"James City County, Virginia",74153,51,095
"Jasper County, Georgia",13784,13,159
"Jasper County, Illinois",9598,17,079
"Jasper County, Indiana",33449,18,073
